antecedents_str,consequents_str,support,confidence,lift
Tô Hiến Thành,Lý Thường Kiệt,0.13494809688581316,0.8125000000000001,2.1945093457943927
Nguyễn Ðình Chiểu,Trương Định,0.11072664359861592,0.6666666666666667,4.281481481481482
Trương Định,Nguyễn Ðình Chiểu,0.11072664359861592,0.7111111111111111,4.281481481481482
Trương Định,Nguyễn Bỉnh Khiêm,0.08650519031141868,0.5555555555555555,5.351851851851851
Nguyễn Bỉnh Khiêm,Trương Định,0.08650519031141868,0.8333333333333333,5.351851851851851
Lê Khôi,Lý Thường Kiệt,0.08304498269896193,0.8888888888888888,2.4008307372793354
Hẻm 373 Lý Thường Kiệt,Lý Thường Kiệt,0.07612456747404844,0.8800000000000001,2.376822429906542
Nguyễn Bỉnh Khiêm,Nguyễn Ðình Chiểu,0.06228373702422145,0.6,3.6125000000000003
Lạc Long Quân,Lý Thường Kiệt,0.058823529411764705,0.9444444444444445,2.550882658359294
Hoàng Văn Thụ,Lý Thường Kiệt,0.058823529411764705,0.68,1.8366355140186916
Trường Chinh,Hoàng Văn Thụ,0.05190311418685121,0.625,7.2250000000000005
Hoàng Văn Thụ,Trường Chinh,0.05190311418685121,0.6,7.2250000000000005
Bắc Hải,Lý Thường Kiệt,0.05190311418685121,0.8333333333333334,2.250778816199377
Trường Chinh,Cộng Hòa,0.04844290657439446,0.5833333333333334,10.536458333333334
Cộng Hòa,Trường Chinh,0.04844290657439446,0.875,10.536458333333334
Lê Khôi,Hẻm 373 Lý Thường Kiệt,0.04844290657439446,0.5185185185185185,5.994074074074074
Hẻm 373 Lý Thường Kiệt,Lê Khôi,0.04844290657439446,0.56,5.994074074074074
Ðiện Biên Phủ,Nguyễn Ðình Chiểu,0.04844290657439446,0.7,4.214583333333334
Trần Hưng Ðạo,Nguyễn Ðình Chiểu,0.04844290657439446,0.6666666666666666,4.013888888888889
Trường Chinh,Lý Thường Kiệt,0.04844290657439446,0.5833333333333334,1.5755451713395638
Xa lộ Hà Nội,Xa Lộ Hà Nội,0.04498269896193772,1.0,10.703703703703704
Cộng Hòa,Hoàng Văn Thụ,0.04498269896193772,0.8125,9.3925
Hoàng Văn Thụ,Cộng Hòa,0.04498269896193772,0.52,9.3925
Hẻm 373 Lý Thường Kiệt,"Lê Khôi, Lý Thường Kiệt",0.04498269896193772,0.52,6.261666666666668
Cộng Hòa,"Trường Chinh, Hoàng Văn Thụ",0.04152249134948097,0.7499999999999999,14.45
Trường Chinh,"Cộng Hòa, Hoàng Văn Thụ",0.04152249134948097,0.5,11.115384615384615
Cống Quỳnh,Trần Hưng Ðạo,0.04152249134948097,0.6666666666666666,9.174603174603174
Trần Hưng Ðạo,Cống Quỳnh,0.04152249134948097,0.5714285714285714,9.174603174603174
Trường Chinh,Xuân Diệu,0.04152249134948097,0.5,9.03125
Xuân Diệu,Trường Chinh,0.04152249134948097,0.7499999999999999,9.03125
Xuân Diệu,Hoàng Văn Thụ,0.04152249134948097,0.7499999999999999,8.67
Nguyễn Thị Minh Khai,Nguyễn Ðình Chiểu,0.04152249134948097,0.5999999999999999,3.6124999999999994
Xuân Diệu,Lý Thường Kiệt,0.04152249134948097,0.7499999999999999,2.025700934579439
